voltage_kv,69,115,138,161,230,345,500,765
acres,2.4,2.7,3.0,3.3,3.6,4.5,7.5,9.4
access_road_miles,1,1,1,1,1,1,1,1
circuit_breaker,8,8,8,8,8,8,8,8
disconnect_switches,16,16,16,16,16,16,16,16
voltage_transformers,6,6,6,6,6,6,6,6
bus_support,16,16,16,16,16,20,32,48
deadend_struct,4,4,4,4,4,4,4,4
control_enclosure,1,1,1,1,1,1,1,1
relay_panel,10,10,10,10,10,10,10,10
cable_trench_ft,360,380,400,420,440,480,560,700
conduit_ft,3600,3800,4000,4200,4400,4800,5600,7000
control_cable_ft,36000,38000,40000,42000,44000,48000,56000,70000
validation,10.3,11.5,12.7,13.9,15.9,23.7,34.6,71.3

