voltage_kv,69,115,138,161,230,345,500,765
foundation_size_cubic_yard,3.4,4.2,5.2,6.5,7.8,8.0,18.0,27.0
steel_stand_weight_lbs,1500,1750,2000,2500,3500,4000,5000,7500
material_cost,11873,14841,17809,20778,23745,41555,59364,178091
installation_cost,7124,8311,9498,10685,11873,17809,23745,71663
jumpers_and_grounding_cost,4749,5343,5936,7124,8905,11873,14841,42998
steel_stand_material_cost,3892,4541,5189,6487,9081,10378,12973,19460
steel_stand_installation_cost,4476,5222,5968,7460,10443,11977,14919,22379
foundation_cost,5289,6534,8090,10112,12133,12445,28001,42002
