voltage_kv,69,115,138,161,230,345,500,765
foundation_size_cubic_yard,1.8,2.3,2.7,3.4,4.0,8.0,12.1,18.2
steel_stand_weight_lbs,1250,1350,1425,1500,1750,2000,2500,3750
material_cost,73284,91598,124783,137249,149775,249595,436798,655197
installation_cost,2375,2671,2969,3265,3562,4749,5936,8905
jumpers_and_grounding_cost,7124,8014,8905,10685,13357,17809,22258,33387
steel_stand_material_cost,3243,3503,3697,3892,4541,5189,6487,9730
steel_stand_installation_cost,3730,4029,4252,4476,5222,5968,7460,11189
foundation_cost,2800,3578,4200,5289,6222,12445,18823,28234
