voltage_kv,69,115,138,161,230,345,500,765
acres,2.5,2.8,3.1,3.4,3.8,4.7,7.8,9.8
access_road_miles,1,1,1,1,1,1,1,1
circuit_breaker,9,9,9,9,9,9,9,9
disconnect_switches,18,18,18,18,18,18,18,18
voltage_transformers,8,8,8,8,8,8,8,8
bus_support,16,16,16,16,16,20,32,48
deadend_struct,6,6,6,6,6,6,6,6
control_enclosure,1,1,1,1,1,1,1,1
relay_panel,11,11,11,11,11,11,11,11
cable_trench_ft,410,430,450,470,500,540,630,788
conduit_ft,4100,4300,4500,4700,5000,5400,6300,7880
control_cable_ft,41000,43000,45000,47000,50000,54000,63000,78800
validation,11.4,12.9,14.2,15.5,18.0,26.9,39.3,80.8

