voltage_kv,69,115,138,161,230,345,500,765
material_costs,52930,59676,63568,70314,84066,124801,209386,401327
installation_costs,79395,89515,95352,105471,126099,187202,314079,601982
hardware_costs,9430,11002,11788,13359,15717,38332,60298,93712
foundation_costs,23334,25668,31112,33446,45113,64559,112004,248895
