voltage_kv,69,115,138,161,230,345,500,765
acres,0.4,0.5,0.5,0.6,0.6,0.8,1.3,1.6
access_road_miles,0,0,0,0,0,0,0,0
circuit_breaker,1,1,1,1,1,1,1,1
disconnect_switches,2,2,2,2,2,2,2,2
voltage_transformers,1,1,1,1,1,1,1,1
bus_support,4,4,4,4,4,6,8,12
deadend_struct,1,1,1,1,1,1,1,1
control_enclosure,0,0,0,0,0,0,0,0
relay_panel,1,1,1,1,1,1,1,1
cable_trench_ft,50,50,50,50,60,60,70,88
conduit_ft,500,500,500,500,600,600,700,880
control_cable_ft,5000,5000,5000,5000,6000,6000,7000,8800
validation,1.3,1.5,1.7,1.8,2.2,3.4,5.3,17.4

